1.760000	7.910000	235625.809688	3807287.727069
8.040000	7.916667	239458.468570	3807179.840855
14.316667	7.923333	243291.077169	3807073.533592
20.596667	7.930000	247123.636223	3806968.805106
1.760000	15.473333	235756.941977	3811909.933103
8.040000	15.476667	239587.695532	3811801.985918
14.316667	15.480000	243418.399017	3811695.618572
20.596667	15.486667	247249.053167	3811590.830890
1.760000	23.033333	235888.214204	3816532.163096
8.040000	23.036667	239717.060405	3816424.155169
14.316667	23.040000	243545.856750	3816317.727965
20.596667	23.040000	247374.603968	3816212.881308
1.760000	30.596667	236019.626301	3821154.417061
8.040000	30.596667	239846.563123	3821046.348620
14.316667	30.596667	243673.450301	3820939.861782
20.596667	30.596667	247500.288563	3820834.956373
