1.826667	20.786667	752499.711437	3820834.956373
8.103333	20.786667	756326.549699	3820939.861782
14.383333	20.783333	760153.436877	3821046.348620
20.660000	20.780000	763980.373699	3821154.417061
1.826667	28.326667	752373.893115	3825457.056099
8.113333	28.320000	756198.820395	3825562.020040
14.386667	28.320000	760023.796381	3825668.566286
20.660000	28.323333	763848.821798	3825776.695012
1.826667	35.870000	752247.941128	3830079.180501
8.103333	35.866667	756070.955403	3830184.202751
14.393333	35.863333	759894.018174	3830290.808179
20.660000	35.866667	763717.130163	3830398.996962
1.826667	43.410000	752121.855544	3834701.329592
8.103333	43.410000	755942.954789	3834806.409929
14.383333	43.410000	759764.102321	3834913.074315
20.660000	43.410000	763585.298860	3835021.322926
